央视频道,#genre#
CCTV8,http://110.241.191.184:808/hls/8/index.m3u8
CCTV9,http://110.241.191.184:808/hls/9/index.m3u8
CCTV10,http://110.241.191.184:808/hls/10/index.m3u8
CCTV11,http://110.241.191.184:808/hls/11/index.m3u8
卫视频道,#genre#
东南卫视,http://110.241.191.184:808/hls/34/index.m3u8
东方卫视,http://110.241.191.184:808/hls/32/index.m3u8
云南卫视,http://110.241.191.184:808/hls/47/index.m3u8
内蒙古卫视,http://110.241.191.184:808/hls/39/index.m3u8
北京卫视,http://110.241.191.184:808/hls/21/index.m3u8
吉林卫视,http://110.241.191.184:808/hls/36/index.m3u8
四川卫视,http://110.241.191.184:808/hls/31/index.m3u8
天津卫视,http://110.241.191.184:808/hls/22/index.m3u8
山东卫视,http://110.241.191.184:808/hls/24/index.m3u8
山西卫视,http://110.241.191.184:808/hls/38/index.m3u8
广西卫视,http://110.241.191.184:808/hls/35/index.m3u8
江苏卫视,http://110.241.191.184:808/hls/20/index.m3u8
河北卫视,http://110.241.191.184:808/hls/18/index.m3u8
深圳卫视,http://110.241.191.184:808/hls/23/index.m3u8
湖南卫视,http://110.241.191.184:808/hls/19/index.m3u8
甘肃卫视,http://110.241.191.184:808/hls/44/index.m3u8
重庆卫视,http://110.241.191.184:808/hls/33/index.m3u8
青海卫视,http://110.241.191.184:808/hls/40/index.m3u8
黑龙江卫视,http://110.241.191.184:808/hls/27/index.m3u8
其他频道,#genre#
