河北频道,#genre#
央视频道,#genre#
CCTV1,http://42.63.195.15:8089/hls/1/index.m3u8
CCTV10,http://42.63.195.15:8089/hls/10/index.m3u8
CCTV11,http://42.63.195.15:8089/hls/11/index.m3u8
CCTV12,http://42.63.195.15:8089/hls/12/index.m3u8
CCTV13,http://42.63.195.15:8089/hls/13/index.m3u8
CCTV2,http://42.63.195.15:8089/hls/2/index.m3u8
CCTV3,http://42.63.195.15:8089/hls/3/index.m3u8
CCTV4,http://42.63.195.15:8089/hls/4/index.m3u8
CCTV5,http://42.63.195.15:8089/hls/17/index.m3u8
CCTV5,http://42.63.195.15:8089/hls/5/index.m3u8
CCTV6,http://42.63.195.15:8089/hls/6/index.m3u8
CCTV7,http://42.63.195.15:8089/hls/7/index.m3u8
CCTV8,http://42.63.195.15:8089/hls/8/index.m3u8
CCTV9,http://42.63.195.15:8089/hls/9/index.m3u8
CCTV少儿,http://42.63.195.15:8089/hls/14/index.m3u8
卫视频道,#genre#
东方卫视,http://42.63.195.15:8089/hls/29/index.m3u8
云南卫视,http://42.63.195.15:8089/hls/48/index.m3u8
兵团卫视,http://42.63.195.15:8089/hls/120/index.m3u8
内蒙古卫视,http://42.63.195.15:8089/hls/57/index.m3u8
北京卫视,http://42.63.195.15:8089/hls/33/index.m3u8
吉林卫视,http://42.63.195.15:8089/hls/43/index.m3u8
宁夏卫视,http://42.63.195.15:8089/hls/18/index.m3u8
安徽卫视,http://42.63.195.15:8089/hls/37/index.m3u8
山东卫视,http://42.63.195.15:8089/hls/38/index.m3u8
山西卫视,http://42.63.195.15:8089/hls/42/index.m3u8
广东卫视,http://42.63.195.15:8089/hls/34/index.m3u8
广西卫视,http://42.63.195.15:8089/hls/47/index.m3u8
新疆卫视,http://42.63.195.15:8089/hls/54/index.m3u8
江苏卫视,http://42.63.195.15:8089/hls/31/index.m3u8
河南卫视,http://42.63.195.15:8089/hls/40/index.m3u8
浙江卫视,http://42.63.195.15:8089/hls/32/index.m3u8
深圳卫视,http://42.63.195.15:8089/hls/35/index.m3u8
湖北卫视,http://42.63.195.15:8089/hls/28/index.m3u8
湖南卫视,http://42.63.195.15:8089/hls/30/index.m3u8
甘肃卫视,http://42.63.195.15:8089/hls/51/index.m3u8
西藏卫视,http://42.63.195.15:8089/hls/56/index.m3u8
辽宁卫视,http://42.63.195.15:8089/hls/39/index.m3u8
重庆卫视,http://42.63.195.15:8089/hls/50/index.m3u8
陕西卫视,http://42.63.195.15:8089/hls/44/index.m3u8
青海卫视,http://42.63.195.15:8089/hls/55/index.m3u8
其他频道,#genre#
1,http://112.103.141.11:8083
光影,http://42.63.195.15:8089/hls/74/index.m3u8
劲爆体育,http://42.63.195.15:8089/hls/115/index.m3u8
台球,http://42.63.195.15:8089/hls/119/index.m3u8
家庭影院,http://42.63.195.15:8089/hls/73/index.m3u8
星影,http://42.63.195.15:8089/hls/75/index.m3u8
精选,http://42.63.195.15:8089/hls/76/index.m3u8
纪实,http://42.63.195.15:8089/hls/58/index.m3u8
足球,http://42.63.195.15:8089/hls/118/index.m3u8
金鹰卡通,http://42.63.195.15:8089/hls/64/index.m3u8
银川公共,http://42.63.195.15:8089/hls/25/index.m3u8
银川文体,http://42.63.195.15:8089/hls/26/index.m3u8
黑龙江,http://42.63.195.15:8089/hls/36/index.m3u8
