河北频道,#genre#
河北卫视,http://60.16.18.243:4949/hls/52/index.m3u8
央视频道,#genre#
CCTV1,http://116.3.67.48:777/hls/1/index.m3u8
CCTV1,http://42.86.255.218:777/hls/1/index.m3u8
CCTV1,http://60.16.18.243:4949/hls/1/index.m3u8
CCTV1,http://60.16.18.243:4949/hls/114/index.m3u8
CCTV10,http://116.3.67.48:777/hls/10/index.m3u8
CCTV10,http://42.86.255.218:777/hls/10/index.m3u8
CCTV10,http://60.16.18.243:4949/hls/10/index.m3u8
CCTV10,http://60.16.18.243:4949/hls/123/index.m3u8
CCTV11,http://116.3.67.48:777/hls/11/index.m3u8
CCTV11,http://42.86.255.218:777/hls/11/index.m3u8
CCTV11,http://60.16.18.243:4949/hls/11/index.m3u8
CCTV11,http://60.16.18.243:4949/hls/124/index.m3u8
CCTV12,http://116.3.67.48:777/hls/12/index.m3u8
CCTV12,http://42.86.255.218:777/hls/12/index.m3u8
CCTV12,http://60.16.18.243:4949/hls/12/index.m3u8
CCTV12,http://60.16.18.243:4949/hls/125/index.m3u8
CCTV13,http://116.3.67.48:777/hls/13/index.m3u8
CCTV13,http://42.86.255.218:777/hls/13/index.m3u8
CCTV13,http://60.16.18.243:4949/hls/126/index.m3u8
CCTV13,http://60.16.18.243:4949/hls/13/index.m3u8
CCTV14,http://116.3.67.48:777/hls/14/index.m3u8
CCTV14,http://42.86.255.218:777/hls/14/index.m3u8
CCTV14,http://60.16.18.243:4949/hls/127/index.m3u8
CCTV14,http://60.16.18.243:4949/hls/14/index.m3u8
CCTV15,http://116.3.67.48:777/hls/15/index.m3u8
CCTV15,http://42.86.255.218:777/hls/15/index.m3u8
CCTV15,http://60.16.18.243:4949/hls/128/index.m3u8
CCTV15,http://60.16.18.243:4949/hls/15/index.m3u8
CCTV16,http://116.3.67.48:777/hls/16/index.m3u8
CCTV16,http://42.86.255.218:777/hls/16/index.m3u8
CCTV16,http://60.16.18.243:4949/hls/129/index.m3u8
CCTV16,http://60.16.18.243:4949/hls/16/index.m3u8
CCTV17,http://116.3.67.48:777/hls/17/index.m3u8
CCTV17,http://42.86.255.218:777/hls/17/index.m3u8
CCTV17,http://60.16.18.243:4949/hls/130/index.m3u8
CCTV17,http://60.16.18.243:4949/hls/17/index.m3u8
CCTV2,http://116.3.67.48:777/hls/2/index.m3u8
CCTV2,http://42.86.255.218:777/hls/2/index.m3u8
CCTV2,http://60.16.18.243:4949/hls/115/index.m3u8
CCTV2,http://60.16.18.243:4949/hls/2/index.m3u8
CCTV3,http://116.3.67.48:777/hls/3/index.m3u8
CCTV3,http://42.86.255.218:777/hls/3/index.m3u8
CCTV3,http://60.16.18.243:4949/hls/116/index.m3u8
CCTV3,http://60.16.18.243:4949/hls/3/index.m3u8
CCTV4,http://116.3.67.48:777/hls/4/index.m3u8
CCTV4,http://42.86.255.218:777/hls/4/index.m3u8
CCTV4,http://60.16.18.243:4949/hls/117/index.m3u8
CCTV4,http://60.16.18.243:4949/hls/4/index.m3u8
CCTV5+,http://116.3.67.48:777/hls/18/index.m3u8
CCTV5+,http://42.86.255.218:777/hls/18/index.m3u8
CCTV5+,http://60.16.18.243:4949/hls/131/index.m3u8
CCTV5+,http://60.16.18.243:4949/hls/18/index.m3u8
CCTV5,http://116.3.67.48:777/hls/5/index.m3u8
CCTV5,http://42.86.255.218:777/hls/5/index.m3u8
CCTV5,http://60.16.18.243:4949/hls/118/index.m3u8
CCTV5,http://60.16.18.243:4949/hls/5/index.m3u8
CCTV6,http://116.3.67.48:777/hls/6/index.m3u8
CCTV6,http://42.86.255.218:777/hls/6/index.m3u8
CCTV6,http://60.16.18.243:4949/hls/119/index.m3u8
CCTV6,http://60.16.18.243:4949/hls/6/index.m3u8
CCTV7,http://116.3.67.48:777/hls/7/index.m3u8
CCTV7,http://42.86.255.218:777/hls/7/index.m3u8
CCTV7,http://60.16.18.243:4949/hls/120/index.m3u8
CCTV7,http://60.16.18.243:4949/hls/7/index.m3u8
CCTV8,http://116.3.67.48:777/hls/8/index.m3u8
CCTV8,http://42.86.255.218:777/hls/8/index.m3u8
CCTV8,http://60.16.18.243:4949/hls/121/index.m3u8
CCTV8,http://60.16.18.243:4949/hls/8/index.m3u8
CCTV9,http://116.3.67.48:777/hls/9/index.m3u8
CCTV9,http://42.86.255.218:777/hls/9/index.m3u8
CCTV9,http://60.16.18.243:4949/hls/122/index.m3u8
CCTV9,http://60.16.18.243:4949/hls/9/index.m3u8
CCTV台球,http://60.16.18.243:4949/hls/108/index.m3u8
CCTV文化精品,http://60.16.18.243:4949/hls/73/index.m3u8
卫视频道,#genre#
东方卫视,http://116.3.67.48:777/hls/21/index.m3u8
东方卫视,http://42.86.255.218:777/hls/21/index.m3u8
东方卫视,http://60.16.18.243:4949/hls/39/index.m3u8
云南卫视,http://60.16.18.243:4949/hls/50/index.m3u8
兵团卫视,http://60.16.18.243:4949/hls/63/index.m3u8
内蒙古卫视,http://60.16.18.243:4949/hls/66/index.m3u8
农林卫视,http://60.16.18.243:4949/hls/69/index.m3u8
北京卫视,http://116.3.67.48:777/hls/20/index.m3u8
